,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
56710, 2000-07-12T19:25:03.510Z, 34.038, 139.209, 10.0, 5.3, mwc, 205.0, , , 0.95, us, usp0009wc4, 2022-04-29T18:44:25.632Z, 74 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56711, 2000-07-12T19:19:40.540Z, 34.193, 139.201, 10.0, 5.0, mb, 47.0, , , 1.15, us, usp0009wc3, 2014-11-07T01:10:35.727Z, 58 km SSE of Shimoda, Japan, earthquake, , , , 12.0, reviewed, us, us
56712, 2000-07-12T14:07:14.170Z, 34.156, 139.202, 10.0, 5.0, mb, 106.0, , , 1.02, us, usp0009wbr, 2014-11-07T01:10:35.698Z, 62 km SSE of Shimoda, Japan, earthquake, , , , 45.0, reviewed, us, us
56714, 2000-07-12T06:37:15.560Z, 34.113, 139.268, 10.0, 5.0, mb, 91.0, , , 0.98, us, usp0009waj, 2014-11-07T01:10:35.568Z, 69 km SSE of Shimoda, Japan, earthquake, , , , 38.0, reviewed, us, us
56715, 2000-07-12T03:19:02.090Z, 34.179, 139.201, 10.0, 5.2, mwc, 100.0, , , 0.96, us, usp0009w9u, 2022-04-29T18:44:18.639Z, 60 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56719, 2000-07-11T19:25:43.670Z, 34.24, 139.032, 10.0, 5.2, mwc, 87.0, , , 1.55, us, usp0009w9d, 2022-04-29T19:45:51.841Z, 49 km S of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56720, 2000-07-11T18:23:51.020Z, 34.219, 138.951, 10.0, 5.1, mwc, 94.0, , , 1.51, us, usp0009w97, 2022-04-29T18:44:17.494Z, 50 km S of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56722, 2000-07-11T13:10:01.500Z, 34.192, 139.176, 10.0, 5.3, mwc, 75.0, , , 0.93, us, usp0009w8q, 2022-04-29T18:44:16.201Z, 57 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56731, 2000-07-08T18:57:44.470Z, 34.053, 139.126, 10.0, 5.9, mwc, 333.0, , , 1.21, us, usp0009w27, 2022-04-29T19:45:46.710Z, 71 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56732, 2000-07-08T16:49:11.640Z, 34.084, 139.29, 10.0, 5.4, mwc, 168.0, , , 1.38, us, usp0009w1r, 2022-04-29T19:45:45.611Z, 73 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56736, 2000-07-07T18:37:10.020Z, 39.115, 144.411, 10.0, 5.2, mwc, 143.0, , , 0.77, us, usp0009w08, 2016-11-09T22:55:47.248Z, 215 km E of Yamada, Japan, earthquake, , , , , reviewed, us, hrv
56740, 2000-07-07T02:45:26.580Z, 34.136, 139.271, 10.0, 5.4, mwc, 86.0, , , 0.86, us, usp0009vyv, 2022-04-29T18:43:39.960Z, 67 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56743, 2000-07-06T14:59:40.080Z, 34.145, 139.138, 10.0, 5.3, mwc, 127.0, , , 1.07, us, usp0009vxf, 2022-04-29T18:43:38.449Z, 61 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56745, 2000-07-06T06:27:39.570Z, 34.11, 139.312, 10.0, 5.2, mwc, 94.0, , , 0.84, us, usp0009vvg, 2022-04-29T18:43:36.810Z, 71 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56747, 2000-07-06T04:09:18.340Z, 36.356, 142.51, 50.8, 5.4, mwc, 130.0, , , 0.77, us, usp0009vv9, 2016-11-09T22:55:18.858Z, 164 km ESE of Iwaki, Japan, earthquake, , 6.8, , , reviewed, us, hrv
56748, 2000-07-05T02:21:10.820Z, 34.233, 139.165, 10.0, 5.3, mwc, 119.0, , , 1.11, us, usp0009vt1, 2022-04-29T18:43:35.253Z, 53 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56754, 2000-07-04T06:53:51.360Z, 34.11, 139.159, 10.0, 5.4, mwc, 201.0, , , 0.83, us, usp0009vrc, 2022-04-29T18:43:27.994Z, 65 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56756, 2000-07-03T13:24:30.900Z, 31.142, 131.439, 33.0, 5.4, mwc, 134.0, , , 1.05, us, usp0009vpe, 2022-04-29T19:42:56.502Z, 42 km SSE of Kushima, Japan, earthquake, , , , , reviewed, us, hrv
56757, 2000-07-03T03:36:21.770Z, 33.966, 139.576, 10.0, 5.0, mwc, 96.0, , , 1.44, us, usp0009vnk, 2016-11-09T22:53:55.089Z, 97 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
